fund_name,policy,fund_manager_name
K-2035RMF,กองทุนนี้เปลี่ยนชื่อย่อกองทุนมาจาก K2035RMF เมื่อวันที่ 12 มีนาคม 2568 | ลงทุนในกองทุนรวมต่างประเทศตั้งแต่ 2 กองทุนขึ้นไป โดยเฉลี่ยในรอบปีบัญชีไม่น้อยกว่า 80% ของ NAV โดยลงทุนส่วนใหญ่ในกองทุนตราสารทุน กองทุนผสม กองทุนตราสารหนี้ และหรือกองทุนประเภทอื่นๆ เช่น กองทุนรวมสินค้าโภคภัณฑ์ เป็นต้น รวมถึงหน่วยของกองทรัสต์หรือกองอสังหาริมทรัพย์ต่างประเทศ และหน่วยของกองทุนโครงสร้างพื้นฐานต่างประเทศ | อาจลงทุนในกองทุนรวมอื่นซึ่งอยู่ภายใต้การบริหารของบริษัทจัดการได้โดยไม่จำกัดอัตราส่วน และกองทุนรวมอื่นนั้นมีการลงทุนในกองทุนรวมใดๆ ที่อยู่ภายใต้การบริหารจัดการของบริษัทจัดการเดียวกันต่อได้อีกไม่เกิน 1 ทอด | บริษัทจัดการจะมอบหมายให้ Capital Group Investment Management Pte. Ltd. เป็นผู้รับมอบหมายงานด้านการจัดการลงทุนในต่างประเทศของกองทุน (Outsourced fund manager) โดยไม่รวมส่วนของการลงทุนในประเทศ | อาจลงทุนในสัญญาซื้อขายล่วงหน้าเพื่อเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) และตราสารที่มีสัญญาซื้อขายล่วงหน้าแฝง (Structured Note) | ป้องกันความเสี่ยงด้านอัตราแลกเปลี่ยนตามดุลยพินิจของผู้จัดการกองทุน | บริหารแบบ active management โดยเน้นลงทุนในหน่วยลงทุนของกองทุนรวมต่างประเทศ และจะปรับลดสัดส่วนการลงทุนในสินทรัพย์ที่มีความเสี่ยงให้เหมาะสมกับช่วงอายุของผู้ลงทุนที่เพิ่มขึ้น,น.ส. ชุณหวรรณ ขัตตินานนท์
K-EUSMALL,"ลงทุนในกองทุน Invesco Continental European Small Cap Equity Fund, C-Acc Shares (EUR) (กองทุนหลัก) ที่มุ่งลงทุนในตราสารทุนที่จดทะเบียนและ/หรือตราสารทุนที่เกี่ยวข้อง (equity-related) ของบริษัทขนาดเล็กในตลาดยุโรป (รวมถึงใบสำคัญแสดงสิทธิและหลักทรัพย์แปลงสภาพ โดยการลงทุนในใบสำคัญแสดงสิทธิต้องไม่เกิน 10% ของมูลค่าทรัพย์สินสุทธิ) ซึ่งรวมถึงประเทศสมาชิกสหภาพยุโรป สวิสเซอร์แลนด์ สแกนดิเนเวีย บัลแกเรีย โรมาเนีย โครเอเชีย ตุรกี และประเทศเครือรัฐเอกราช ทั้งนี้ ไม่รวมสหราชอาณาจักร | ป้องกันความเสี่ยงจากอัตราแลกเปลี่ยนไม่น้อยกว่า 75% ของมูลค่าเงินลงทุนต่างประเทศ | บริษัทที่บริหารจัดการกองทุนหลัก คือ Invesco Management S.A. | กองทุนมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management)",น.ส. ชุณหวรรณ ขัตตินานนท์
K-BANKING,ลงทุนหุ้นในดัชนีธุรกิจธนาคาร (SET Banking Sector Index) | อาจลงทุนในสัญญาซื้อขายล่วงหน้าเพื่อการเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) | มุ่งหวังให้ผลประกอบการเคลื่อนไหวตามดัชนีชี้วัด (passive management/index tracking),น.ส. ชุลีกร เตรียมพาณิชย์กุล
K-GHEALTH(UH),"ลงทุนในกองทุน JPMorgan Funds – Global Healthcare Fund, Class A (acc) - USD (กองทุนหลัก) ที่ลงทุนในหุ้นบริษัทที่ประกอบธุรกิจดูแลสุขภาพทั่วโลกไม่น้อยกว่า 67% ของมูลค่าทรัพย์สินของกองทุน | ไม่ป้องกันความเสี่ยงจากอัตราแลกเปลี่ยน | บริษัทที่บริหารจัดการกองทุนหลัก คือ JPMorgan Asset Management (Europe) S.à r.l. | กองทุนมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management)",น.ส. ชุณหวรรณ ขัตตินานนท์
K-ENERGY,ลงทุนหุ้นในดัชนีธุรกิจพลังงานและสาธารณูปโภค (SET Energy & Utilities Sector Index) | อาจลงทุนในสัญญาซื้อขายล่วงหน้าเพื่อการเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) | อาจลงทุนในตราสารต่างประเทศได้ไม่เกิน 20% ของ NAV | ป้องกันความเสี่ยงจากอัตราแลกเปลี่ยนตามดุลยพินิจของผู้จัดการกองทุน | มุ่งหวังให้ผลประกอบการเคลื่อนไหวตามดัชนีชี้วัด (passive management/index tracking),น.ส. ชุลีกร เตรียมพาณิชย์กุล
K-GDBOND-A(A),"ลงทุนในกองทุน Nomura Funds Ireland – Global Dynamic Bond Fund, Class I USD (กองทุนหลัก) ที่เน้นลงทุนในตราสารหนี้และหลักทรัพย์ที่เกี่ยวข้องกับตราสารหนี้ที่มีผลตอบแทนแบบคงที่หรือผันแปร มีกลยุทธ์การลงทุนที่มีความยืดหยุ่น (unconstrained approach) โดยใช้มุมมองมหภาค (top-down macro view) ร่วมกับการคัดเลือกผู้ออกหลักทรัพย์โดยใช้การวิเคราะห์ปัจจัยพื้นฐาน (bottom-up selections) และไม่มีข้อจำกัดการลงทุนตามภูมิภาค อุตสาหกรรม และมูลค่าหลักทรัพย์ กองทุนหลักจะลงทุนทั้งตราสารหนี้และตราสารอนุพันธ์ที่อ้างอิงกับตราสารหนี้ เพื่อปรับพอร์ตการลงทุนให้สอดคล้องกับการเคลื่อนไหวของตลาดในระยะสั้น | ป้องกันความเสี่ยงด้านอัตราแลกเปลี่ยนตามดุลยพินิจของผู้จัดการกองทุน | บริษัทที่บริหารจัดการกองทุนหลัก คือ Nomura Asset Management U.K. Limited | กองทุนมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management)",น.ส. ชุณหวรรณ ขัตตินานนท์
K-CHINA-A(A),"ลงทุนในกองทุน JPMorgan Funds – China Fund, Class JPM China I (acc) – USD (กองทุนหลัก) ที่มีนโยบายลงทุนในตราสารทุนของบริษัทที่ตั้งถิ่นฐานหรือดำเนินธุรกิจส่วนใหญ่ในสาธารณรัฐประชาชนจีน ไม่น้อยกว่า 67% ของมูลค่าทรัพย์สินของกองทุน รวมถึงอาจลงทุนในหุ้นจีน A-shares ได้ไม่เกิน 40% ของมูลค่าทรัพย์สินของกองทุน | ป้องกันความเสี่ยงจากอัตราแลกเปลี่ยนไม่น้อยกว่า 75% ของมูลค่าเงินลงทุนต่างประเทศ | บริษัทที่บริหารจัดการกองทุนหลัก คือ JPMorgan Asset Management (Europe) S.à r.l. | กองทุนมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management)",น.ส. ชุณหวรรณ ขัตตินานนท์
K-CHINA-A(D),"ลงทุนในกองทุน JPMorgan Funds – China Fund, Class JPM China I (acc) – USD (กองทุนหลัก) ที่มีนโยบายลงทุนในตราสารทุนของบริษัทที่ตั้งถิ่นฐานหรือดำเนินธุรกิจส่วนใหญ่ในสาธารณรัฐประชาชนจีน ไม่น้อยกว่า 67% ของมูลค่าทรัพย์สินของกองทุน รวมถึงอาจลงทุนในหุ้นจีน A-shares ได้ไม่เกิน 40% ของมูลค่าทรัพย์สินของกองทุน | ป้องกันความเสี่ยงจากอัตราแลกเปลี่ยนไม่น้อยกว่า 75% ของมูลค่าเงินลงทุนต่างประเทศ | บริษัทที่บริหารจัดการกองทุนหลัก คือ JPMorgan Asset Management (Europe) S.à r.l. | กองทุนมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management)",น.ส. ชุณหวรรณ ขัตตินานนท์
K-CHINA-SSF,"ลงทุนในกองทุน JPMorgan Funds – China Fund, Class JPM China I (acc) – USD (กองทุนหลัก) ที่มีนโยบายลงทุนในตราสารทุนของบริษัทที่ตั้งถิ่นฐานหรือดำเนินธุรกิจส่วนใหญ่ในสาธารณรัฐประชาชนจีน ไม่น้อยกว่า 67% ของมูลค่าทรัพย์สินของกองทุน รวมถึงอาจลงทุนในหุ้นจีน A-shares ได้ไม่เกิน 40% ของมูลค่าทรัพย์สินของกองทุน | ป้องกันความเสี่ยงจากอัตราแลกเปลี่ยนไม่น้อยกว่า 75% ของมูลค่าเงินลงทุนต่างประเทศ | บริษัทที่บริหารจัดการกองทุนหลัก คือ JPMorgan Asset Management (Europe) S.à r.l. | กองทุนมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management)",น.ส. ชุณหวรรณ ขัตตินานนท์
K-WPBALANCED,กองทุนนี้เปลี่ยนชื่อมาจากกองทุนเปิดเวลธ์พลัส บาลานซ์ เมื่อวันที่ 22 มีนาคม 2567 | ลงทุนในหน่วยลงทุนของกองทุนรวมทั้งในและต่างประเทศ ที่มีนโยบายลงทุนในตราสารทุน ตราสารหนี้ ทรัพย์สินทางเลือก และหรือทรัพย์สินอื่นใดตามที่กฎหมาย ก.ล.ต. กำหนด ตั้งแต่ 2 กองทุนขึ้นไป | ลงทุนโดยอ้างอิงสัดส่วนการลงทุนจากโปรแกรมที่บริษัทจัดการพัฒนาร่วมกับ JPMorgan Asset Management (Singapore) Limited และจะมีการปรับสัดส่วนการลงทุนและ/หรือทรัพย์สินที่ลงทุนตามที่บริษัทจัดการเห็นสมควร | อาจลงทุนในกองทุนรวมอื่นซึ่งอยู่ภายใต้การบริหารของบริษัทจัดการได้โดยไม่จำกัดอัตราส่วน และกองทุนรวมอื่นนั้นมีการลงทุนในกองทุนรวมใดๆ ที่อยู่ภายใต้การบริหารจัดการของบริษัทจัดการเดียวกันต่อได้อีกไม่เกิน 1 ทอด | ป้องกันความเสี่ยงด้านอัตราแลกเปลี่ยนตามดุลยพินิจของผู้จัดการกองทุน | อาจลงทุนในสัญญาซื้อขายล่วงหน้าเพื่อเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) และอาจลงทุนในตราสารที่มีสัญญาซื้อขายล่วงหน้าแฝง (Structured Note) | มุ่งหวังให้ผลประกอบการเคลื่อนไหวตามดัชนีชี้วัด และในบางโอกาสอาจสร้างผลตอบแทนสูงกว่าดัชนีชี้วัด,น.ส. สุธีวัน พงศธราธิก
K-2500,ลงทุนในหุ้น ตราสารกึ่งหนี้กึ่งทุน ตราสารหนี้ และหรือเงินฝาก โดยจะลงทุนในหุ้นไม่เกิน 20% ของ NAV | ลงทุนในต่างประเทศไม่เกิน 25% ของ NAV | ป้องกันความเสี่ยงจากอัตราแลกเปลี่ยนตามดุลยพินิจของผู้จัดการกองทุน | อาจลงทุนในสัญญาซื้อขายล่วงหน้าเพื่อการเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) และตราสารที่มีสัญญาซื้อขายล่วงหน้าแฝง (Structured Notes) | อาจลงทุนในกองทุนรวมอื่นซึ่งอยู่ภายใต้การบริหารของบริษัทจัดการได้โดยไม่จำกัดอัตราส่วน และกองทุนรวมอื่นนั้นมีการลงทุนในกองทุนรวมใดๆ ที่อยู่ภายใต้การบริหารจัดการของบริษัทจัดการเดียวกันต่อได้อีกไม่เกิน 1 ทอด | ผู้ถือหน่วยลงทุนสามารถเลือกรับผลตอบแทนโดยการขายคืนหน่วยลงทุนอัตโนมัติทุกวันทำการสุดท้ายของเดือนพฤษภาคมและพฤศจิกายน (ทำรายการเมื่อมีผลตอบแทนตั้งแต่ 500 บาทขึ้นไป) | มุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management),น.ส. จริยา พิมลไพบูลย์ | นาย ธีรุตม์ ทวิชศรี
K-SGM,ลงทุนในกองทุนต่างประเทศตั้งแต่ 2 กองทุนขึ้นไป โดยจะลงทุนเพื่อให้ได้รับผลตอบแทนจากการลงทุนในหน่วยลงทุนของกองทุนประเภทตราสารทุน ตราสารหนี้ และหรือกองทุนประเภทอื่นๆ เช่น กองทุนรวมสินค้าโภคภัณฑ์ รวมทั้ง REITs และหน่วยของกองทุนโครงสร้างพื้นฐานต่างประเทศ | บริษัทจัดการจะมอบหมายให้ Lombard Odier (Hong Kong) Limited เป็นผู้รับมอบหมายงานด้านการจัดการลงทุนในต่างประเทศของกองทุน (Outsourced fund manager) โดยไม่รวมส่วนของการลงทุนในประเทศ | อาจลงทุนในสัญญาซื้อขายล่วงหน้าเพื่อการเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) และเพื่อป้องกันความเสี่ยงด้านอัตราแลกเปลี่ยนตามดุลยพินิจของผู้จัดการกองทุน | มุ่งลงทุนในกองทุนรวมต่างประเทศโดยบริหารกองทุนเพื่อควบคุมความเสี่ยงของพอร์ตการลงทุนโดยรวม,น.ส. ชุณหวรรณ ขัตตินานนท์
K-WORLDXRMF,กองทุนจะลงทุนในกองทุน iShares MSCI ACWI ETF (กองทุนหลัก) ซึ่งเป็นกองทุนอีทีเอฟที่จดทะเบียนซื้อขายในตลาดหลักทรัพย์ Nasdaq และมีนโยบายลงทุนในหุ้นทั่วโลกเพื่อสร้างผลตอบแทนให้สอดคล้องกับผลการดำเนินงานของดัชนี MSCI ACWI ที่ประกอบด้วยหุ้นในกลุ่มประเทศที่พัฒนาแล้ว (Developed Markets) และกลุ่มประเทศตลาดเกิดใหม่ (Emerging Markets) ทั้งบริษัทขนาดใหญ่และขนาดกลาง (Large and mid-capitalization) | กองทุนจะป้องกันความเสี่ยงด้านอัตราแลกเปลี่ยนตามดุลยพินิจของผู้จัดการกองทุน ซึ่งประกอบด้วยบริษัทขนาดใหญ่และขนาดกลาง (Large and mid-capitalization) | บริษัทที่บริหารจัดการกองทุนหลัก คือ BlackRock Fund Advisors | มุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามดัชนีชี้วัด (passive management/index tracking),น.ส. วีรยา จุลมนต์
K-PLANETRMF,"กองทุนนี้เปลี่ยนชื่อย่อกองทุนมาจาก KPLANETRMF เมื่อวันที่ 12 มีนาคม 2568 | กองทุนจะลงทุนในกองทุน LO Funds – Planetary Transition, (USD), I Class A (กองทุนหลัก) ที่มีนโยบายลงทุนในตราสารทุนหรือตราสารเทียบเท่าตราสารทุน ที่ออกโดยบริษัททั่วโลกรวมถึงประเทศตลาดเกิดใหม่ ที่การเติบโตของธุรกิจได้รับประโยชน์จากกฎเกณฑ์ นวัตกรรม การบริการ หรือสินค้าที่เกี่ยวข้องกับการป้องกันหรือช่วยลดปัญหาการเปลี่ยนแปลงสภาพภูมิอากาศ (Climate Change) | กองทุนอาจลงทุนในสัญญาซื้อขายล่วงหน้าเพื่อการเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) และตราสารที่มีสัญญาซื้อขายล่วงหน้าแฝง (Structured Notes) | กองทุนจะป้องกันความเสี่ยงด้านอัตราแลกเปลี่ยนตามดุลยพินิจของผู้จัดการกองทุน | บริษัทที่บริหารจัดการกองทุนหลัก คือ Lombard Odier Funds (Europe) S.A. | กองทุนมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management)",น.ส. วีรยา จุลมนต์
K-USA-A(A),"กองทุนนี้เปลี่ยนกองทุนหลักเป็นกองทุน Brown Advisory US Sustainable Growth Fund, Dollar Class SI Acc เมื่อวันที่ 16 พ.ค. 66 | ลงทุนในกองทุน Brown Advisory US Sustainable Growth Fund, Dollar Class SI Acc (กองทุนหลัก) ที่มีนโยบายลงทุนในตราสารทุนของบริษัทสหรัฐอเมริกาที่มีปัจจัยพื้นฐานดีและมีรูปแบบธุรกิจที่สามารถเติบโตได้อย่างยั่งยืนในระยะยาวอย่างน้อย 80% ของทรัพย์สินสุทธิ ซึ่งจะลงทุนในหุ้นสามัญเป็นหลัก | ป้องกันความเสี่ยงจากอัตราแลกเปลี่ยนไม่น้อยกว่า 75% ของมูลค่าเงินลงทุนต่างประเทศ | บริษัทที่บริหารจัดการกองทุนหลัก คือ Brown Advisory (Ireland) Limited | กองทุนมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management)",น.ส. ชุณหวรรณ ขัตตินานนท์
K-USA-A(D),"กองทุนนี้เปลี่ยนกองทุนหลักเป็นกองทุน Brown Advisory US Sustainable Growth Fund, Dollar Class SI Acc เมื่อวันที่ 16 พ.ค. 66 | ลงทุนในกองทุน Brown Advisory US Sustainable Growth Fund, Dollar Class SI Acc (กองทุนหลัก) ที่มีนโยบายลงทุนในตราสารทุนของบริษัทสหรัฐอเมริกาที่มีปัจจัยพื้นฐานดีและมีรูปแบบธุรกิจที่สามารถเติบโตได้อย่างยั่งยืนในระยะยาวอย่างน้อย 80% ของทรัพย์สินสุทธิ ซึ่งจะลงทุนในหุ้นสามัญเป็นหลัก | ป้องกันความเสี่ยงจากอัตราแลกเปลี่ยนไม่น้อยกว่า 75% ของมูลค่าเงินลงทุนต่างประเทศ | บริษัทที่บริหารจัดการกองทุนหลัก คือ Brown Advisory (Ireland) Limited | กองทุนมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management)",น.ส. ชุณหวรรณ ขัตตินานนท์
K-USA-SSF,"กองทุนนี้เปลี่ยนกองทุนหลักเป็นกองทุน Brown Advisory US Sustainable Growth Fund, Dollar Class SI Acc เมื่อวันที่ 16 พ.ค. 66 | ลงทุนในกองทุน Brown Advisory US Sustainable Growth Fund, Dollar Class SI Acc (กองทุนหลัก) ที่มีนโยบายลงทุนในตราสารทุนของบริษัทสหรัฐอเมริกาที่มีปัจจัยพื้นฐานดีและมีรูปแบบธุรกิจที่สามารถเติบโตได้อย่างยั่งยืนในระยะยาวอย่างน้อย 80% ของทรัพย์สินสุทธิ ซึ่งจะลงทุนในหุ้นสามัญเป็นหลัก | ป้องกันความเสี่ยงจากอัตราแลกเปลี่ยนไม่น้อยกว่า 75% ของมูลค่าเงินลงทุนต่างประเทศ | บริษัทที่บริหารจัดการกองทุนหลัก คือ Brown Advisory (Ireland) Limited | กองทุนมุ่งหวังให้ผลประกอบการเคลื่อนไหวตามกองทุนหลัก โดยกองทุนหลักมุ่งหวังให้ผลประกอบการเคลื่อนไหวสูงกว่าดัชนีชี้วัด (active management)",น.ส. ชุณหวรรณ ขัตตินานนท์
K-FI22H,กองทุนนี้เปลี่ยนชื่อมาจากกองทุนเปิดเค ตราสารหนี้ต่างประเทศ 2022H เมื่อวันที่ 11 พฤษภาคม 2565 | ลงทุนโดยตรงในเงินฝาก ตราสารหนี้ภาครัฐและเอกชน หน่วย CIS สัญญาซื้อขายล่วงหน้าเพื่อการเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) ตราสารที่มีสัญญาซื้อขายล่วงหน้าแฝง (Structured Note) ธุรกรรมการให้ยืมหลักทรัพย์ (Securities Lending) ธุรกรรมการซื้อโดยมีสัญญาขายคืน (Reverse Repo) ทั้งในและต่างประเทศ | ป้องกันความเสี่ยงด้านอัตราแลกเปลี่ยนไม่น้อยกว่า 90% ของมูลค่าเงินลงทุนในต่างประเทศ | เน้นลงทุนในตราสารหนี้ที่มีอันดับความน่าเชื่อถืออยู่ในอันดับที่สามารถลงทุนได้ อย่างไรก็ตาม กองทุนอาจลงทุนในตราสารหนี้ที่ไม่ได้รับการจัดอันดับความน่าเชื่อถือหรือได้รับการจัดอันดับความน่าเชื่อถือต่ำกว่าอันดับที่สามารถลงทุนได้ ไม่เกิน 20% ของ NAV | อาจลงทุนในหน่วยลงทุนของกองทุนรวมอื่นซึ่งอยู่ภายใต้การบริหารจัดการของบริษัทจัดการเดียวกันได้โดยไม่จำกัดอัตราส่วน และกองทุนรวมอื่นนั้นมีการลงทุนในหน่วยลงทุนของกองทุนรวมใดๆ ที่อยู่ภายใต้การบริหารจัดการของบริษัทจัดการเดียวกันต่อได้อีกไม่เกิน 1 ทอด | มุ่งหวังให้ผลประกอบการเคลื่อนไหวตามดัชนีชี้วัด และในบางโอกาสอาจสร้างผลตอบแทนสูงกว่าดัชนีชี้วัด,นาย ธีรุตร อัศวมงคลกุล
K-CASH,ลงทุนในตั๋วเงินคลัง พันธบัตรรัฐบาลหรือรัฐวิสาหกิจที่มีกระทรวงการคลังค้ำประกัน พันธบัตรธนาคารแห่งประเทศไทย หรือพันธบัตรที่มีความเสี่ยงน้อยกว่าหรือเทียบเท่า ในประเทศ | ตราสารหนี้ที่กองทุนลงทุนจะต้องมีกำหนดวันชำระหนี้ไม่เกิน 397 วันนับแต่วันที่ลงทุน | กองทุนจะคงอายุตราสารเฉลี่ยแบบถ่วงน้ำหนัก (Portfolio Duration) ของกองทุนไม่เกิน 92 วัน | มุ่งหวังให้ผลประกอบการเคลื่อนไหวตามดัชนีชี้วัด และในบางโอกาสอาจสร้างผลตอบแทนสูงกว่าดัชนีชี้วัด,น.ส. อัมไพวรรณ เมลืองนนท์
K-WPBALRMF,กองทุนนี้เปลี่ยนชื่อย่อกองทุนมาจาก KWPBALRMF เมื่อวันที่ 12 มีนาคม 2568 | กองทุนนี้เปลี่ยนชื่อมาจากกองทุนเปิดเวลธ์พลัส บาลานซ์ เพื่อการเลี้ยงชีพ เมื่อวันที่ 22 มีนาคม 2567 | ลงทุนในหน่วยลงทุนของกองทุนทั้งในและต่างประเทศตั้งแต่ 2 กองทุนขึ้นไป ที่มีนโยบายลงทุนในทรัพย์สินอย่างใดอย่างหนึ่งหรือหลายอย่าง เช่น ตราสารทุน ตราสารหนี้ และทรัพย์สินทางเลือก | ลงทุนโดยอ้างอิงสัดส่วนการลงทุนจากโปรแกรมที่บริษัทจัดการพัฒนาร่วมกับ JPMorgan Asset Management (Singapore) Limited และจะมีการปรับสัดส่วนการลงทุนและ/หรือทรัพย์สินที่ลงทุนตามที่บริษัทจัดการเห็นสมควร | อาจลงทุนในกองทุนรวมอื่นซึ่งอยู่ภายใต้การบริหารจัดการของบริษัทจัดการเดียวกันโดยไม่จำกัดอัตราส่วน และกองทุนรวมอื่นนั้นมีการลงทุนในกองทุนรวมใดๆ ที่อยู่ภายใต้การบริหารจัดการของบริษัทจัดการเดียวกันต่อได้อีกไม่เกิน 1 ทอด | ป้องกันความเสี่ยงด้านอัตราแลกเปลี่ยนตามดุลยพินิจของผู้จัดการกองทุน | อาจลงทุนในสัญญาซื้อขายล่วงหน้าเพื่อเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) และอาจลงทุนในตราสารที่มีสัญญาซื้อขายล่วงหน้าแฝง (Structured Note) | มุ่งหวังให้ผลประกอบการเคลื่อนไหวตามดัชนีชี้วัด และในบางโอกาสอาจสร้างผลตอบแทนสูงกว่าดัชนีชี้วัด,น.ส. สุธีวัน พงศธราธิก
K-WPLIGHT,กองทุนนี้เปลี่ยนชื่อมาจากกองทุนเปิดเวลธ์พลัส ไลท์ เมื่อวันที่ 22 มีนาคม 2567 | ลงทุนในหน่วยลงทุนของกองทุนรวมทั้งในและต่างประเทศ ที่มีนโยบายลงทุนในตราสารทุน ตราสารหนี้ ทรัพย์สินทางเลือก และหรือทรัพย์สินอื่นใดตามที่กฎหมาย ก.ล.ต. กำหนด ตั้งแต่ 2 กองทุนขึ้นไป | ลงทุนโดยอ้างอิงสัดส่วนการลงทุนจากโปรแกรมที่บริษัทจัดการพัฒนาร่วมกับ JPMorgan Asset Management (Singapore) Limited และจะมีการปรับสัดส่วนการลงทุนและ/หรือทรัพย์สินที่ลงทุนตามที่บริษัทจัดการเห็นสมควร | อาจลงทุนในกองทุนรวมอื่นซึ่งอยู่ภายใต้การบริหารของบริษัทจัดการได้โดยไม่จำกัดอัตราส่วน และกองทุนรวมอื่นนั้นมีการลงทุนในกองทุนรวมใดๆ ที่อยู่ภายใต้การบริหารจัดการของบริษัทจัดการเดียวกันต่อได้อีกไม่เกิน 1 ทอด | ป้องกันความเสี่ยงด้านอัตราแลกเปลี่ยนตามดุลยพินิจของผู้จัดการกองทุน | อาจลงทุนในสัญญาซื้อขายล่วงหน้าเพื่อเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) และอาจลงทุนในตราสารที่มีสัญญาซื้อขายล่วงหน้าแฝง (Structured Note) | มุ่งหวังให้ผลประกอบการเคลื่อนไหวตามดัชนีชี้วัด และในบางโอกาสอาจสร้างผลตอบแทนสูงกว่าดัชนีชี้วัด,น.ส. สุธีวัน พงศธราธิก
K-FIXEDPLUS-A,ลงทุนในตราสารแห่งหนี้ภาครัฐและภาคเอกชน และเงินฝากทั้งในประเทศและต่างประเทศ | ลงทุนในต่างประเทศไม่กำหนดอัตราส่วน | ป้องกันความเสี่ยงด้านอัตราแลกเปลี่ยนไม่น้อยกว่า 90% ของมูลค่าเงินลงทุนต่างประเทศ | ลงทุนในหน่วยลงทุนของกองทุนรวมอื่นซึ่งอยู่ภายใต้การบริหารจัดการได้ไม่เกิน 60% ของ NAV และกองทุนรวมอื่นนั้นมีการลงทุนในกองทุนรวมใดๆ ที่อยู่ภายใต้การบริหารจัดการของบริษัทจัดการเดียวกันต่อได้อีกไม่เกิน 1 ทอด | อาจลงทุนในตราสารที่มีสัญญาซื้อขายล่วงหน้าแฝง (Structured Note) และหรือสัญญาซื้อขายล่วงหน้าเพื่อการเพิ่มประสิทธิภาพการบริหารการลงทุน (Efficient Portfolio Management) | มุ่งหวังให้ผลประกอบการเคลื่อนไหวตามดัชนีชี้วัด และในบางโอกาสอาจสร้างผลตอบแทนสูงกว่าดัชนีชี้วัด,นาย ฐานันดร โชลิตกุล | นาย ธีรุตร อัศวมงคลกุล
